album_name,track_number,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode
Fearless (Taylor's Version),18.0,SuperStar (Taylor's Version),0.454,0.555,2.0,-6.69,1.0,0.0283,0.157,0.0,0.343,0.171,171.862,4.0,263865.0,False,D,major,D major
Fearless (Taylor's Version),19.0,The Other Side Of The Door (Taylor's Version),0.432,0.873,4.0,-4.367,1.0,0.0577,0.0279,0.0,0.167,0.629,163.936,4.0,238444.0,False,E,major,E major
Speak Now,1.0,Mine,0.624,0.757,7.0,-2.94,1.0,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,4.0,230707.0,False,G,major,G major
Speak Now,2.0,Sparks Fly,0.605,0.787,5.0,-3.002,1.0,0.0308,0.0396,1.42e-06,0.163,0.374,114.987,4.0,260933.0,False,F,major,F major
Speak Now,3.0,Back To December,0.529,0.67,2.0,-4.663,1.0,0.0303,0.117,0.0,0.334,0.286,141.893,4.0,293027.0,False,D,major,D major
Speak Now,4.0,Speak Now,0.709,0.599,7.0,-3.734,1.0,0.0304,0.095,0.0,0.0973,0.735,118.975,4.0,240760.0,False,G,major,G major
Speak Now,5.0,Dear John,0.589,0.47,4.0,-5.32,1.0,0.028,0.166,1.45e-06,0.112,0.102,119.386,3.0,403920.0,False,E,major,E major
Speak Now,6.0,Mean,0.568,0.761,4.0,-3.987,1.0,0.0459,0.452,0.0,0.217,0.789,163.974,4.0,237733.0,False,E,major,E major
Speak Now,7.0,The Story Of Us,0.543,0.818,4.0,-3.611,1.0,0.0398,0.00478,0.000368,0.0357,0.683,139.898,4.0,265667.0,False,E,major,E major
Speak Now,8.0,Never Grow Up,0.714,0.305,2.0,-8.837,1.0,0.0305,0.819,0.0,0.174,0.554,124.91,4.0,290467.0,False,D,major,D major
Speak Now,9.0,Enchanted,0.455,0.623,8.0,-3.878,1.0,0.0288,0.0739,0.000424,0.146,0.208,163.893,4.0,352187.0,False,G#,major,G# major
Speak Now,10.0,Better Than Revenge,0.516,0.917,11.0,-3.186,0.0,0.0827,0.0139,6.37e-06,0.36,0.635,145.821,4.0,217160.0,False,B,minor,B minor
Speak Now,11.0,Innocent,0.552,0.608,1.0,-5.29,0.0,0.0259,0.186,0.0,0.125,0.17,134.05,4.0,302253.0,False,C#,minor,C# minor
Speak Now,12.0,Haunted,0.436,0.95,5.0,-2.627,1.0,0.057,0.0826,1.08e-06,0.149,0.352,162.088,4.0,242080.0,False,F,major,F major
Speak Now,13.0,Last Kiss,0.371,0.341,10.0,-9.475,1.0,0.0319,0.57,3.09e-05,0.101,0.196,89.038,1.0,367133.0,False,A#,major,A# major
Speak Now,14.0,Long Live,0.418,0.68,7.0,-4.3,1.0,0.0347,0.036,7.59e-05,0.114,0.142,204.12,4.0,317453.0,False,G,major,G major
Speak Now,15.0,Ours,0.608,0.569,0.0,-7.227,1.0,0.0284,0.537,0.0,0.097,0.238,159.845,4.0,237920.0,False,C,major,C major
Speak Now,16.0,If This Was A Movie,0.511,0.719,4.0,-3.457,1.0,0.0265,0.166,4.54e-06,0.34,0.289,147.852,4.0,234547.0,False,E,major,E major
Speak Now,17.0,Superman,0.582,0.765,7.0,-3.648,1.0,0.0324,0.0268,1.95e-06,0.103,0.559,131.982,4.0,275960.0,False,G,major,G major
